epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,526.934,0.43446,0.62208,0.42302,0.93214,0.80544,0.62781,0.73613,0.62854,0.80544,0.62781,0.72741,0.61279,0.5831,1.52914,0.94239,1.05847,0.000181703,0.000181703,0.000181703
110,531.139,0.45748,0.64766,0.39879,0.92829,0.7794,0.62781,0.73179,0.63109,0.7794,0.62781,0.72901,0.61492,0.57351,1.67277,0.92828,1.05678,0.00016795,0.00016795,0.00016795
111,581.691,0.36206,0.49995,0.34812,0.90818,0.70653,0.65608,0.73247,0.62592,0.70653,0.65608,0.71882,0.60747,0.59949,1.85407,0.92372,1.06121,0.000154198,0.000154198,0.000154198
112,585.814,0.35323,0.49831,0.32666,0.87422,0.701,0.68646,0.73501,0.62367,0.701,0.68646,0.72538,0.60836,0.62893,1.96557,0.91206,1.07496,0.000140445,0.000140445,0.000140445
113,589.885,0.33829,0.45585,0.32327,0.88218,0.76487,0.64528,0.73531,0.6234,0.76487,0.64528,0.73351,0.606,0.63154,1.98045,0.89473,1.0792,0.000126692,0.000126692,0.000126692
114,594.021,0.32708,0.46515,0.31846,0.88625,0.77963,0.65512,0.7528,0.63636,0.77963,0.65512,0.75036,0.61975,0.62729,1.7424,0.86114,1.08221,0.000112939,0.000112939,0.000112939
115,598.183,0.32722,0.47765,0.29985,0.87448,0.86105,0.6369,0.76978,0.64814,0.86105,0.6369,0.75889,0.62926,0.62244,1.58185,0.85636,1.08438,9.91865e-05,9.91865e-05,9.91865e-05
116,602.278,0.32183,0.44547,0.32264,0.87666,0.90428,0.62781,0.77435,0.648,0.90428,0.62781,0.7633,0.63471,0.61952,1.59144,0.84247,1.08208,8.54337e-05,8.54337e-05,8.54337e-05
117,606.415,0.33093,0.44897,0.30683,0.87924,0.89697,0.62781,0.77819,0.65027,0.89697,0.62781,0.76214,0.63535,0.61973,1.58711,0.84584,1.07936,7.1681e-05,7.1681e-05,7.1681e-05
118,610.615,0.33353,0.45776,0.29569,0.86044,0.89777,0.63761,0.78446,0.65497,0.89777,0.63761,0.76843,0.64091,0.62437,1.71835,0.83663,1.08095,5.79283e-05,5.79283e-05,5.79283e-05
119,614.963,0.315,0.44829,0.29452,0.88171,0.90221,0.64157,0.78853,0.66403,0.90221,0.64157,0.77636,0.64653,0.6133,1.74908,0.82821,1.07372,4.41755e-05,4.41755e-05,4.41755e-05
120,619.127,0.30872,0.41857,0.29293,0.85939,0.90157,0.64319,0.79523,0.66564,0.90157,0.64319,0.77893,0.65015,0.61019,1.72509,0.8234,1.07428,3.04227e-05,3.04227e-05,3.04227e-05
